,CBScode,Perioden,"  HIC: Theft / burglary dwelling, complete","  HIC: Theft / burglary dwelling, attempts",HIC: Violent Crime,HIC: Street Roof,HIC: Robberies,Undermining public order,Threat,Fire / Explosion,"Theft of moped, moped, bike",Theft of / from vehicles,Theft of motor vehicles,Theft / burglary companies / institutions,Theft / burglary garage / barn / shed,Drug trafficking,Trespassing,mistreatment,Overt violence (person),Or destruction. cause damage,Arms Trade,pickpocketing,morals Felony,Municipality,Province,Population,Population_density(p/km)
332,GM1509,2016JJ00,48.0,25.0,105.0,0.0,0.0,1.0,27.0,6.0,113.0,77.0,10.0,40.0,27.0,17.0,2.0,75.0,3.0,126.0,5.0,14.0,7.0,Oude IJsselstreek,Gelderland,39614.0,292.0
333,GM1525,2016JJ00,58.0,19.0,93.0,0.0,0.0,3.0,31.0,8.0,178.0,137.0,9.0,68.0,53.0,15.0,2.0,62.0,0.0,134.0,4.0,5.0,14.0,Teylingen,South Holland,35723.0,1250.0
334,GM1581,2016JJ00,150.0,78.0,145.0,0.0,3.0,4.0,66.0,12.0,286.0,145.0,19.0,63.0,40.0,12.0,4.0,72.0,7.0,222.0,11.0,12.0,10.0,Utrechtse Heuvelrug,Utrecht,47939.0,365.0
335,GM1586,2016JJ00,47.0,15.0,80.0,1.0,0.0,2.0,23.0,0.0,121.0,25.0,4.0,18.0,10.0,16.0,0.0,49.0,8.0,102.0,5.0,26.0,15.0,Oost Gelre,Gelderland,29648.0,274.0
336,GM1598,2016JJ00,38.0,17.0,59.0,3.0,0.0,0.0,23.0,2.0,40.0,41.0,16.0,31.0,7.0,4.0,1.0,33.0,3.0,107.0,3.0,0.0,8.0,Koggenland,North Holland,22473.0,278.0
337,GM1621,2016JJ00,123.0,106.0,166.0,7.0,1.0,7.0,71.0,10.0,318.0,253.0,49.0,50.0,36.0,10.0,4.0,88.0,7.0,275.0,5.0,13.0,26.0,Lansingerland,South Holland,57188.0,1018.0
338,GM1640,2016JJ00,85.0,26.0,104.0,0.0,0.0,8.0,41.0,15.0,90.0,56.0,19.0,44.0,78.0,25.0,1.0,59.0,4.0,145.0,10.0,7.0,12.0,Leudal,Limburg,36213.0,224.0
339,GM1641,2016JJ00,72.0,25.0,55.0,1.0,0.0,2.0,29.0,13.0,32.0,70.0,17.0,19.0,29.0,14.0,2.0,25.0,1.0,89.0,3.0,6.0,2.0,Maasgouw,Limburg,23888.0,526.0
340,GM1651,2016JJ00,9.0,1.0,78.0,0.0,0.0,1.0,33.0,3.0,23.0,10.0,3.0,9.0,8.0,7.0,0.0,45.0,0.0,95.0,2.0,1.0,12.0,Eemsmond,Groningen,15910.0,86.0
341,GM1652,2016JJ00,52.0,17.0,81.0,1.0,1.0,4.0,33.0,17.0,121.0,54.0,9.0,19.0,56.0,21.0,3.0,42.0,6.0,117.0,3.0,14.0,12.0,Gemert-Bakel,North Brabant,29354.0,237.0
342,GM1655,2016JJ00,55.0,26.0,91.0,0.0,1.0,2.0,36.0,2.0,72.0,104.0,7.0,39.0,34.0,20.0,2.0,51.0,4.0,123.0,1.0,10.0,9.0,Halderberge,North Brabant,29379.0,393.0
343,GM1658,2016JJ00,29.0,18.0,40.0,0.0,0.0,0.0,12.0,3.0,67.0,42.0,9.0,30.0,34.0,8.0,2.0,26.0,2.0,47.0,3.0,5.0,3.0,Heeze-Leende,North Brabant,15376.0,148.0
344,GM1659,2016JJ00,18.0,7.0,55.0,0.0,0.0,3.0,28.0,2.0,48.0,31.0,16.0,14.0,25.0,8.0,1.0,27.0,0.0,61.0,3.0,10.0,4.0,Laarbeek,North Brabant,21815.0,390.0
345,GM1663,2016JJ00,14.0,4.0,29.0,0.0,0.0,0.0,15.0,7.0,4.0,5.0,0.0,3.0,5.0,8.0,1.0,13.0,1.0,46.0,1.0,2.0,5.0,"Marne, DeDe Marne",Groningen,10205.0,62.0
346,GM1667,2016JJ00,21.0,6.0,43.0,0.0,0.0,1.0,12.0,8.0,25.0,11.0,5.0,5.0,26.0,4.0,0.0,27.0,4.0,42.0,0.0,8.0,4.0,Reusel-De Mierden,North Brabant,12728.0,162.0
347,GM1669,2016JJ00,53.0,32.0,52.0,2.0,1.0,2.0,25.0,6.0,38.0,57.0,19.0,19.0,25.0,8.0,1.0,27.0,0.0,94.0,1.0,6.0,2.0,Roerdalen,Limburg,20808.0,239.0
348,GM1671,2016JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
349,GM1672,2016JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
350,GM1674,2016JJ00,152.0,86.0,492.0,13.0,3.0,29.0,212.0,16.0,459.0,533.0,45.0,146.0,104.0,85.0,7.0,259.0,21.0,460.0,36.0,111.0,32.0,Roosendaal,North Brabant,76930.0,728.0
351,GM1676,2016JJ00,57.0,13.0,132.0,4.0,0.0,10.0,60.0,7.0,106.0,100.0,9.0,57.0,36.0,35.0,4.0,68.0,4.0,211.0,8.0,25.0,8.0,Schouwen-Duiveland,Zeeland,33821.0,148.0
352,GM1680,2016JJ00,39.0,17.0,51.0,0.0,0.0,0.0,21.0,5.0,37.0,12.0,3.0,16.0,12.0,2.0,2.0,30.0,0.0,107.0,1.0,2.0,15.0,Aa en Hunze,Drenthe,25243.0,93.0
353,GM1681,2016JJ00,34.0,8.0,77.0,1.0,0.0,0.0,27.0,7.0,22.0,20.0,2.0,16.0,26.0,10.0,1.0,50.0,0.0,66.0,4.0,1.0,5.0,Borger-Odoorn,Drenthe,25633.0,94.0
354,GM1684,2016JJ00,47.0,19.0,85.0,0.0,1.0,3.0,38.0,8.0,68.0,71.0,17.0,30.0,23.0,15.0,4.0,42.0,5.0,128.0,6.0,15.0,13.0,Cuijk,North Brabant,24780.0,481.0
355,GM1685,2016JJ00,24.0,9.0,44.0,1.0,0.0,2.0,13.0,5.0,29.0,31.0,5.0,10.0,34.0,11.0,0.0,26.0,5.0,50.0,7.0,2.0,4.0,Landerd,North Brabant,15262.0,214.0
356,GM1690,2016JJ00,47.0,15.0,40.0,1.0,0.0,1.0,11.0,1.0,16.0,15.0,3.0,14.0,30.0,3.0,0.0,28.0,1.0,56.0,7.0,2.0,5.0,"Wolden, DeDe Wolden",Drenthe,23592.0,106.0
357,GM1695,2016JJ00,16.0,3.0,66.0,0.0,0.0,1.0,32.0,2.0,9.0,18.0,1.0,13.0,7.0,5.0,1.0,34.0,0.0,53.0,0.0,0.0,3.0,Noord-Beveland,Zeeland,7508.0,88.0
358,GM1696,2016JJ00,30.0,22.0,56.0,1.0,0.0,0.0,25.0,4.0,44.0,63.0,5.0,24.0,12.0,2.0,3.0,30.0,1.0,113.0,3.0,6.0,4.0,Wijdemeren,North Holland,23170.0,487.0
359,GM1699,2016JJ00,59.0,24.0,67.0,0.0,1.0,4.0,16.0,5.0,69.0,24.0,1.0,24.0,23.0,16.0,1.0,48.0,3.0,131.0,3.0,7.0,10.0,Noordenveld,Drenthe,31110.0,154.0
360,GM1700,2016JJ00,49.0,14.0,55.0,0.0,0.0,1.0,19.0,7.0,63.0,26.0,5.0,23.0,21.0,22.0,0.0,36.0,0.0,89.0,4.0,2.0,9.0,Twenterand,Overijssel,33939.0,319.0
361,GM1701,2016JJ00,31.0,15.0,37.0,0.0,0.0,2.0,17.0,0.0,16.0,15.0,3.0,24.0,18.0,3.0,0.0,20.0,0.0,49.0,0.0,0.0,6.0,Westerveld,Drenthe,18902.0,69.0
362,GM1702,2016JJ00,11.0,1.0,13.0,0.0,0.0,0.0,12.0,1.0,10.0,8.0,6.0,17.0,18.0,3.0,0.0,1.0,0.0,34.0,0.0,2.0,9.0,Sint Anthonis,North Brabant,11696.0,119.0
363,GM1705,2016JJ00,89.0,32.0,102.0,0.0,0.0,5.0,36.0,8.0,97.0,104.0,11.0,21.0,32.0,14.0,0.0,64.0,2.0,187.0,7.0,9.0,8.0,Lingewaard,Gelderland,45814.0,735.0
364,GM1706,2016JJ00,39.0,22.0,89.0,0.0,1.0,6.0,31.0,4.0,98.0,38.0,12.0,17.0,35.0,22.0,0.0,56.0,2.0,76.0,7.0,8.0,9.0,Cranendonck,North Brabant,20388.0,267.0
365,GM1708,2016JJ00,81.0,17.0,188.0,1.0,3.0,6.0,66.0,7.0,135.0,44.0,7.0,47.0,38.0,19.0,2.0,111.0,11.0,242.0,4.0,14.0,17.0,Steenwijkerland,Overijssel,43372.0,150.0
366,GM1709,2016JJ00,71.0,33.0,98.0,2.0,1.0,3.0,51.0,13.0,107.0,254.0,22.0,38.0,29.0,23.0,1.0,43.0,4.0,189.0,3.0,5.0,6.0,Moerdijk,North Brabant,36775.0,229.0
367,GM1711,2016JJ00,58.0,27.0,114.0,1.0,2.0,3.0,41.0,13.0,130.0,72.0,32.0,36.0,34.0,19.0,3.0,72.0,1.0,118.0,9.0,10.0,9.0,Echt-Susteren,Limburg,31940.0,312.0
368,GM1714,2016JJ00,32.0,9.0,77.0,2.0,1.0,2.0,39.0,4.0,42.0,28.0,3.0,29.0,7.0,15.0,2.0,37.0,1.0,89.0,3.0,8.0,14.0,Sluis,Zeeland,23795.0,85.0
369,GM1719,2016JJ00,27.0,21.0,49.0,0.0,0.0,0.0,21.0,1.0,51.0,98.0,17.0,18.0,29.0,12.0,0.0,27.0,1.0,95.0,2.0,6.0,8.0,Drimmelen,North Brabant,26705.0,277.0
370,GM1721,2016JJ00,46.0,11.0,77.0,0.0,2.0,5.0,32.0,3.0,121.0,59.0,30.0,33.0,46.0,10.0,2.0,37.0,8.0,119.0,8.0,5.0,3.0,Bernheze,North Brabant,29703.0,332.0
371,GM1722,2016JJ00,8.0,1.0,10.0,0.0,0.0,1.0,4.0,1.0,15.0,1.0,3.0,3.0,9.0,0.0,0.0,6.0,0.0,40.0,0.0,0.0,1.0,Ferwerderadiel,Friesland,8771.0,90.0
372,GM1723,2016JJ00,27.0,7.0,23.0,0.0,0.0,2.0,11.0,1.0,15.0,14.0,4.0,16.0,20.0,5.0,0.0,12.0,0.0,35.0,1.0,6.0,3.0,Alphen-Chaam,North Brabant,9712.0,102.0
373,GM1724,2016JJ00,40.0,8.0,27.0,0.0,0.0,0.0,14.0,2.0,56.0,36.0,26.0,22.0,24.0,9.0,0.0,13.0,0.0,43.0,0.0,8.0,6.0,Bergeijk,North Brabant,18250.0,179.0
374,GM1728,2016JJ00,30.0,5.0,59.0,0.0,0.0,2.0,19.0,3.0,80.0,33.0,13.0,23.0,43.0,17.0,0.0,36.0,4.0,110.0,2.0,5.0,7.0,Bladel,North Brabant,19825.0,260.0
375,GM1729,2016JJ00,30.0,7.0,31.0,0.0,0.0,2.0,14.0,1.0,53.0,51.0,17.0,22.0,61.0,2.0,0.0,17.0,0.0,52.0,1.0,3.0,3.0,Gulpen-Wittem,Limburg,14492.0,198.0
376,GM1730,2016JJ00,67.0,12.0,81.0,0.0,1.0,4.0,31.0,7.0,44.0,33.0,5.0,18.0,24.0,6.0,2.0,49.0,1.0,108.0,2.0,3.0,15.0,Tynaarlo,Drenthe,32506.0,225.0
377,GM1731,2016JJ00,79.0,18.0,115.0,0.0,1.0,3.0,47.0,9.0,52.0,31.0,6.0,33.0,26.0,15.0,0.0,63.0,5.0,138.0,2.0,4.0,13.0,Midden-Drenthe,Drenthe,33368.0,98.0
378,GM1734,2016JJ00,81.0,42.0,141.0,4.0,0.0,2.0,48.0,18.0,127.0,176.0,39.0,57.0,30.0,16.0,1.0,90.0,3.0,190.0,16.0,16.0,17.0,Overbetuwe,Gelderland,46653.0,423.0
379,GM1735,2016JJ00,61.0,20.0,91.0,5.0,0.0,3.0,27.0,9.0,107.0,42.0,6.0,28.0,41.0,12.0,1.0,63.0,1.0,106.0,9.0,12.0,11.0,Hof van Twente,Overijssel,34987.0,167.0
380,GM1740,2016JJ00,32.0,16.0,65.0,0.0,1.0,1.0,30.0,9.0,36.0,44.0,24.0,35.0,28.0,17.0,1.0,35.0,0.0,80.0,12.0,3.0,7.0,Neder-Betuwe,Gelderland,22591.0,373.0
381,GM1742,2016JJ00,36.0,10.0,72.0,1.0,2.0,1.0,23.0,6.0,90.0,81.0,7.0,24.0,22.0,11.0,1.0,45.0,4.0,126.0,4.0,3.0,14.0,Rijssen-Holten,Overijssel,37696.0,399.0
382,GM1771,2016JJ00,80.0,32.0,127.0,1.0,2.0,8.0,42.0,22.0,261.0,162.0,26.0,59.0,67.0,31.0,2.0,70.0,15.0,248.0,12.0,12.0,18.0,Geldrop-Mierlo,North Brabant,38854.0,1247.0
383,GM1773,2016JJ00,23.0,10.0,30.0,0.0,1.0,1.0,20.0,1.0,29.0,12.0,0.0,12.0,7.0,1.0,2.0,10.0,0.0,42.0,0.0,2.0,8.0,Olst-Wijhe,Overijssel,17760.0,155.0
384,GM1774,2016JJ00,27.0,7.0,26.0,0.0,0.0,2.0,4.0,2.0,43.0,10.0,2.0,19.0,13.0,4.0,1.0,21.0,1.0,43.0,2.0,5.0,3.0,Dinkelland,Overijssel,25937.0,148.0
385,GM1783,2016JJ00,253.0,149.0,293.0,5.0,0.0,15.0,109.0,12.0,434.0,197.0,40.0,172.0,75.0,35.0,7.0,173.0,11.0,732.0,17.0,33.0,24.0,Westland,South Holland,103335.0,1282.0
386,GM1842,2016JJ00,45.0,19.0,34.0,3.0,0.0,0.0,17.0,1.0,58.0,56.0,7.0,26.0,10.0,5.0,0.0,16.0,1.0,57.0,3.0,3.0,3.0,Midden-Delfland,South Holland,18449.0,385.0
387,GM1859,2016JJ00,67.0,22.0,122.0,0.0,2.0,6.0,53.0,3.0,43.0,31.0,9.0,42.0,23.0,5.0,1.0,67.0,2.0,132.0,7.0,2.0,9.0,Berkelland,Gelderland,44650.0,174.0
388,GM1876,2016JJ00,76.0,23.0,38.0,0.0,0.0,3.0,9.0,1.0,39.0,29.0,9.0,21.0,42.0,1.0,2.0,28.0,1.0,76.0,1.0,3.0,9.0,Bronckhorst,Gelderland,36941.0,132.0
389,GM1883,2016JJ00,311.0,185.0,544.0,15.0,5.0,26.0,223.0,52.0,976.0,454.0,167.0,369.0,212.0,89.0,14.0,313.0,8.0,662.0,23.0,124.0,25.0,Sittard-Geleen,Limburg,93806.0,1196.0
390,GM1884,2016JJ00,46.0,23.0,56.0,0.0,0.0,2.0,19.0,2.0,41.0,92.0,9.0,27.0,12.0,16.0,1.0,35.0,2.0,77.0,3.0,2.0,4.0,Kaag en Braassem,South Holland,25758.0,406.0
391,GM1891,2016JJ00,11.0,5.0,52.0,1.0,1.0,2.0,20.0,3.0,26.0,5.0,2.0,7.0,8.0,13.0,3.0,32.0,0.0,66.0,2.0,0.0,5.0,Dantumadiel,Friesland,19035.0,226.0
392,GM1892,2016JJ00,78.0,37.0,107.0,0.0,1.0,1.0,39.0,13.0,88.0,110.0,33.0,35.0,35.0,15.0,3.0,62.0,6.0,160.0,3.0,9.0,4.0,Zuidplas,South Holland,40878.0,685.0
393,GM1894,2016JJ00,74.0,25.0,100.0,0.0,2.0,2.0,43.0,10.0,87.0,46.0,20.0,51.0,80.0,12.0,2.0,54.0,3.0,116.0,5.0,19.0,8.0,Peel en Maas,Limburg,43298.0,271.0
394,GM1895,2016JJ00,62.0,12.0,241.0,1.0,1.0,3.0,89.0,10.0,177.0,26.0,5.0,36.0,28.0,35.0,8.0,148.0,4.0,201.0,5.0,12.0,20.0,Oldambt,Groningen,38558.0,172.0
395,GM1896,2016JJ00,18.0,8.0,38.0,0.0,0.0,0.0,13.0,2.0,57.0,13.0,2.0,10.0,7.0,9.0,0.0,24.0,1.0,63.0,3.0,0.0,3.0,Zwartewaterland,Overijssel,22148.0,267.0
396,GM1900,2016JJ00,120.0,40.0,329.0,2.0,0.0,23.0,118.0,17.0,233.0,88.0,18.0,66.0,47.0,55.0,12.0,201.0,10.0,476.0,6.0,26.0,42.0,Súdwest-Fryslân,Friesland,84258.0,183.0
397,GM1901,2016JJ00,91.0,89.0,86.0,2.0,0.0,5.0,39.0,5.0,128.0,204.0,20.0,32.0,34.0,19.0,1.0,45.0,2.0,106.0,5.0,3.0,14.0,Bodegraven-Reeuwijk,South Holland,32986.0,434.0
398,GM1903,2016JJ00,40.0,20.0,39.0,1.0,1.0,3.0,20.0,3.0,64.0,26.0,17.0,41.0,31.0,13.0,5.0,18.0,1.0,93.0,3.0,8.0,3.0,Eijsden-Margraten,Limburg,24980.0,323.0
399,GM1904,2016JJ00,121.0,57.0,199.0,2.0,2.0,11.0,66.0,20.0,130.0,424.0,60.0,65.0,28.0,55.0,1.0,112.0,21.0,270.0,20.0,19.0,21.0,Stichtse Vecht,Utrecht,63823.0,655.0
400,GM1908,2016JJ00,14.0,2.0,39.0,0.0,0.0,1.0,13.0,2.0,12.0,12.0,1.0,7.0,10.0,6.0,0.0,25.0,1.0,29.0,0.0,1.0,5.0,Menameradiel,Friesland,13653.0,200.0
401,GM1911,2016JJ00,57.0,16.0,156.0,0.0,3.0,3.0,56.0,3.0,84.0,46.0,7.0,22.0,40.0,10.0,5.0,94.0,6.0,162.0,5.0,7.0,16.0,Hollands Kroon,North Holland,47501.0,133.0
402,GM1916,2016JJ00,189.0,126.0,258.0,18.0,9.0,6.0,114.0,10.0,427.0,361.0,89.0,89.0,73.0,32.0,10.0,140.0,4.0,314.0,18.0,58.0,31.0,Leidschendam-Voorburg,South Holland,73392.0,2214.0
403,GM1921,2016JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
404,GM1924,2016JJ00,62.0,21.0,112.0,2.0,1.0,1.0,42.0,34.0,78.0,110.0,5.0,41.0,38.0,8.0,7.0,67.0,3.0,227.0,2.0,3.0,15.0,Goeree-Overflakkee,South Holland,48233.0,184.0
405,GM1926,2016JJ00,85.0,62.0,142.0,4.0,1.0,9.0,46.0,4.0,262.0,161.0,36.0,57.0,20.0,19.0,0.0,91.0,5.0,190.0,4.0,18.0,14.0,Pijnacker-Nootdorp,South Holland,51068.0,1341.0
406,GM1927,2016JJ00,20.0,10.0,45.0,0.0,0.0,1.0,18.0,0.0,22.0,40.0,5.0,19.0,7.0,4.0,3.0,22.0,5.0,78.0,4.0,0.0,5.0,Molenwaard,South Holland,29043.0,246.0
407,GM1930,2016JJ00,205.0,158.0,515.0,23.0,8.0,26.0,199.0,13.0,376.0,182.0,48.0,113.0,80.0,51.0,8.0,285.0,31.0,552.0,25.0,45.0,40.0,Nissewaard,South Holland,85083.0,1034.0
408,GM1931,2016JJ00,75.0,36.0,181.0,0.0,0.0,3.0,80.0,0.0,74.0,137.0,23.0,42.0,22.0,14.0,1.0,99.0,2.0,251.0,5.0,7.0,7.0,Krimpenerwaard,South Holland,54287.0,337.0
409,GM1940,2016JJ00,65.0,26.0,131.0,0.0,0.0,9.0,38.0,12.0,81.0,80.0,20.0,42.0,29.0,10.0,2.0,86.0,7.0,262.0,2.0,7.0,19.0,De Fryske Marren,Friesland,51223.0,142.0
410,GM1942,2016JJ00,212.0,79.0,152.0,12.0,1.0,14.0,49.0,4.0,269.0,367.0,36.0,112.0,46.0,23.0,1.0,99.0,4.0,344.0,2.0,46.0,14.0,Gooise Meren,North Holland,56687.0,1018.0
411,GM1945,2016JJ00,80.0,25.0,138.0,1.0,1.0,3.0,52.0,12.0,89.0,110.0,21.0,37.0,29.0,3.0,2.0,77.0,9.0,114.0,2.0,6.0,10.0,Berg en Dal,Gelderland,18956.0,428.0
412,GM1948,2016JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
413,GM1955,2016JJ00,69.0,25.0,115.0,1.0,0.0,6.0,52.0,8.0,113.0,107.0,30.0,37.0,59.0,14.0,2.0,61.0,2.0,184.0,4.0,10.0,14.0,Montferland,Gelderland,34985.0,332.0
414,GM1987,2016JJ00,15.0,5.0,42.0,0.0,0.0,0.0,19.0,3.0,17.0,7.0,0.0,10.0,7.0,6.0,0.0,22.0,1.0,70.0,0.0,0.0,6.0,Menterwolde,Groningen,12250.0,154.0
