,CBScode,Perioden,"  HIC: Theft / burglary dwelling, complete","  HIC: Theft / burglary dwelling, attempts",HIC: Violent Crime,HIC: Street Roof,HIC: Robberies,Undermining public order,Threat,Fire / Explosion,"Theft of moped, moped, bike",Theft of / from vehicles,Theft of motor vehicles,Theft / burglary companies / institutions,Theft / burglary garage / barn / shed,Drug trafficking,Trespassing,mistreatment,Overt violence (person),Or destruction. cause damage,Arms Trade,pickpocketing,morals Felony,Municipality,Province,Population,Population_density(p/km)
259,GM0755,2016JJ00,13.0,0.0,22.0,0.0,0.0,0.0,14.0,4.0,36.0,15.0,3.0,21.0,31.0,0.0,2.0,8.0,0.0,34.0,1.0,1.0,4.0,Boekel,North Brabant,10089.0,289.0
260,GM0756,2016JJ00,51.0,11.0,76.0,2.0,1.0,3.0,35.0,5.0,122.0,50.0,18.0,46.0,57.0,6.0,2.0,35.0,6.0,130.0,2.0,12.0,21.0,Boxmeer,North Brabant,28135.0,255.0
261,GM0757,2016JJ00,84.0,26.0,143.0,1.0,2.0,9.0,54.0,5.0,214.0,144.0,16.0,41.0,26.0,13.0,2.0,76.0,13.0,169.0,4.0,10.0,16.0,Boxtel,North Brabant,30325.0,475.0
262,GM0758,2016JJ00,451.0,180.0,1241.0,43.0,18.0,86.0,449.0,28.0,1505.0,1442.0,191.0,287.0,302.0,309.0,34.0,737.0,55.0,1188.0,64.0,414.0,108.0,Breda,North Brabant,179999.0,1400.0
263,GM0762,2016JJ00,69.0,17.0,98.0,1.0,1.0,6.0,38.0,3.0,269.0,85.0,30.0,35.0,25.0,38.0,2.0,56.0,4.0,129.0,4.0,10.0,19.0,Deurne,North Brabant,31669.0,271.0
264,GM0765,2016JJ00,20.0,6.0,90.0,1.0,0.0,1.0,43.0,4.0,15.0,12.0,1.0,10.0,8.0,5.0,0.0,45.0,2.0,81.0,0.0,1.0,2.0,Pekela,Groningen,12733.0,262.0
265,GM0766,2016JJ00,35.0,15.0,77.0,1.0,0.0,5.0,41.0,11.0,83.0,98.0,15.0,23.0,22.0,5.0,1.0,34.0,2.0,91.0,5.0,8.0,3.0,Dongen,North Brabant,25389.0,861.0
266,GM0770,2016JJ00,40.0,20.0,32.0,0.0,0.0,3.0,12.0,3.0,61.0,50.0,16.0,26.0,39.0,114.0,1.0,20.0,0.0,62.0,3.0,23.0,3.0,Eersel,North Brabant,18201.0,220.0
267,GM0772,2016JJ00,713.0,265.0,1717.0,96.0,25.0,116.0,567.0,81.0,2599.0,2802.0,369.0,491.0,350.0,189.0,60.0,1023.0,127.0,1821.0,57.0,1232.0,160.0,Eindhoven,North Brabant,220782.0,2476.0
268,GM0777,2016JJ00,52.0,36.0,230.0,0.0,0.0,8.0,103.0,12.0,195.0,220.0,26.0,59.0,63.0,35.0,9.0,120.0,7.0,280.0,9.0,35.0,17.0,Etten-Leur,North Brabant,42351.0,760.0
